Datum,Ort,Art,ang. TN-Zahl
2022-05-04 00:00:00,Huckarder Marktplatz - Buschstraße - Huckarder Marktplatz,Aufzug,20
2022-05-04 00:00:00,RKP,Stationär,50
2022-05-05 00:00:00,"Parkplatz Graf-Adolf-Straße, Lünen",Stationär,5
2022-05-06 00:00:00,Kampstraße - Park der Partnerstädte,Aufzug,100
2022-05-06 00:00:00,Platz der Deutschen Einheit,Stationär,5 - 10
2022-05-07 00:00:00,Friedensplatz - Innenstadt - Cinestar-Vorplatz,Aufzug,600 - 800
2022-05-07 00:00:00,Hafen,Stationär,150
2022-05-07 00:00:00,Friedensplatz - RKP,Aufzug,100
2022-05-07 00:00:00,Lange Straße / Hoher Wall ,Stationär,30
2022-05-07 00:00:00,Platz von Buffalo - DSW21-Kundencenter,Aufzug,60 - 80
2022-05-08 00:00:00,Cinestar - Nordstadt - Innenstadt - Westpark,Aufzug,350 - 500
2022-05-08 00:00:00,Am Bruchheck,Stationär,40
2022-05-09 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-05-09 00:00:00,Friedensplatz (Rundweg),Aufzug,200 - 250
2022-05-09 00:00:00,Do-Eving,Stationär,40 - 50
2022-05-10 00:00:00,DSW21-Vorplatz,Stationär,60-80
2022-05-11 00:00:00,Reinoldikirchplatz,Stationär,20
2022-05-11 00:00:00,Reinoldikirche,Stationär,20
2022-05-13 00:00:00,Uhlandstraße 64,Stationär,15
2022-05-13 00:00:00,Martha Gillessenstraße 40a - 42,Stationär,60
2022-05-14 00:00:00,RKP,Stationär,20
2022-05-14 00:00:00,Platz von Netanya,Stationär,10
2022-05-14 00:00:00,Platz von Netanya,Stationär,10
2022-05-14 00:00:00,Reinoldikirchplatz 2,Stationär,30 - 40 
2022-05-15 00:00:00,Friedensplatz - Mallinckrodtstraße - Keuningpark,Aufzug,1000
2022-05-15 00:00:00,Schlanke Mathilde - Emscherbrücke - Friedensplatz,Aufzug,50
2022-05-15 00:00:00,Potheke - Schwanenwall - Friedensplatz,Aufzug,60
2022-05-15 00:00:00,Haumannstraße - Wittener Straße - Friedensplatz,Aufzug,30
2022-05-15 00:00:00,Evinger Platz - Nordmarkt - Friedensplatz,Aufzug,30
2022-05-16 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-05-16 00:00:00,Do-Eving,Stationär,30-40
2022-05-16 00:00:00,Willy-Brandt-Platz (Lünen),Stationär,20
2022-05-18 00:00:00,Reinoldikirche,Stationär,20
2022-05-18 00:00:00,Marktplatz Huckarde - Allensteiner Straße - Marktplatz Huckarde,Aufzug,30 - 50
2022-05-19 00:00:00,Kampstraße DSW 21,Stationär,20
2022-05-21 00:00:00,RKP,Stationär,20
2022-05-21 00:00:00,Platz der Deutschen Einheit - Westenhellweg - Friedensplatz,Aufzug,400
2022-05-21 00:00:00,Platz der Deutschen Einheit,Stationär,10
