Datum,Ort,Art,ang. TN-Zahl,Thema
2023-04-06 00:00:00,Platz der Deutschen Einheit,Stationär,10 - 15,Informationszelt gegen die Menschenrechtsverletzungen gegen  Herrn Öcalan und die Häftlinge in türkischen Gefängnissen 
2023-04-06 00:00:00,Nortkirchenstraße 111,Stationär,100,Warnstreik KFZ-Tarifrunde
2023-04-07 00:00:00,Kirchhörder Straße/ Theodor Freiwaldweg,Stationär,20,Gegen Militarisierung und Krieg
2023-04-08 00:00:00,Katharinenstraße,Stationär,10 - 15,Informationszelt gegen die Menschenrechtsverletzungen gegen  Herrn Öcalan und die Häftlinge in türkischen Gefängnissen 
2023-04-12 00:00:00,DSW21-Vorplatz,Stationär,20,Gegen Militarisierung und Krieg
2023-04-15 00:00:00,"Reinoldikirchplatz, Standplatz Nr. 5",Stationär,10,Gegen Tierversuche
2023-04-15 00:00:00,Am Kai 2 - 6,Stationär,3 - 10,42 Tage bis zum Tod  (Das Leben eines Masthuhnes)
2023-04-15 00:00:00,Gleiwitzstraße (Rundweg),Aufzug,80 - 150,"Gemeinsam für den Frieden, gegen Altersarmut und zu hohe Lebensmittelpreise, korrupte Politiker haftbar machen"
2023-04-15 00:00:00,Scharnhorst Zentrum,Stationär,3 - 5,Galerie der Impfschäden mit erweiterten Themen
2023-04-17 00:00:00,Platz der Deutschen Enheit,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingfrage, Internationale Solidarität, Für den Weltfrieden"
2023-04-18 00:00:00,Burgwall 20 (Rundweg) ,Aufzug,150,Warnstreik
2023-04-19 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,40,Wir wollen Frieden! Wir wollen ein bezahlbares Leben! Info
2023-04-19 00:00:00,Niedersachsenweg 20,Stationär,100,Warnstreik KFZ-Tarifrunde
2023-04-20 00:00:00,Wittekindstraße 99,Stationär,100,Warnstreik KFZ-Tarifrunde
2023-04-20 00:00:00,Olpe 1,Stationär,20,Free Abdullohi Shamsedin
2023-04-21 00:00:00,Platz der Deutschen Einheit (Rundweg),Aufzug,300,Streik Eisenbahn- und Verkehrsgewerkschaft
2023-04-24 00:00:00,Platz der Deutschen Enheit,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingfrage, Internationale Solidarität, Für den Weltfrieden"
2023-04-24 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,20 - 35,Schluss mit dem Missbrauch von Kindern
2023-04-25 00:00:00,Katharinenstraße,Stationär,30,"Genug ist Genug! Preise runter, Löhne und Sozialleistungen rauf!"
2023-04-26 00:00:00,DSW21-Vorplatz,Stationär,20,Gegen Militarisierung und Krieg
2023-04-26 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20 - 30,"Cernobyl, Supergau am 26.04.1986"
2023-04-28 00:00:00,Ruhrallee 98 (Rundweg),Aufzug,35,Gedenken an die Opfer des Nationalsozialismus
2023-05-01 00:00:00,Platz der Alten Synagoge - Westfalenpark,Aufzug,3000,Ungebrochene Solidarisch
2023-05-01 00:00:00,Wilhelmplatz,Stationär,50,Gegen rechte Gewalt in Dortmund und anderswo
